# master_seed: 1783263541
instance,run_id,seed,greedy,rand_0.3,rand_0.5,rand_0.8,react_0.5,react_1.0,react_2.0,time_greedy,time_rand_0.3,time_rand_0.5,time_rand_0.8,time_react_0.5,time_react_1.0,time_react_2.0
scenario_n20_l20_d0.50_instance01,2,1520,3,5,5,8,3,3,3,0.0566,2.800100,2.541400,2.831300,13.589700,15.268800,12.212700
scenario_n20_l20_d0.80_instance01,2,1520,3,5,6,9,3,3,3,0.0483,3.115600,3.432400,6.228700,24.523400,18.480700,16.266400
scenario_n30_l30_d0.20_instance01,2,1520,10,9,12,13,9,9,9,0.0863,4.257700,4.713500,5.570000,29.999400,26.599400,21.852600
scenario_n30_l30_d0.50_instance01,2,1520,5,8,10,13,5,5,5,0.064,5.401500,6.426700,7.326500,34.826300,35.618700,28.682600
scenario_n30_l30_d0.80_instance01,2,1520,3,7,10,14,3,3,3,0.0723,6.781600,7.243500,6.852700,37.308100,38.457900,35.559800
scenario_n40_l40_d0.20_instance01,2,1520,8,11,15,19,8,8,8,0.087,5.941500,8.003000,8.153700,42.170100,41.381300,39.481900
scenario_n40_l40_d0.50_instance01,2,1520,4,10,14,19,4,4,4,0.0869,9.384000,12.712300,13.320000,105.622900,70.713600,54.714500
scenario_n40_l40_d0.80_instance01,2,1520,3,11,14,18,3,3,3,0.1187,12.442900,19.620900,13.183500,77.671200,63.406800,54.445500
scenario_n500_l125_d0.20_instance01,2,1520,14,NA,NA,NA,NA,NA,NA,2.4387,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.50_instance01,2,1520,7,NA,NA,NA,NA,NA,NA,7.8569,NA,NA,NA,NA,NA,NA
scenario_n500_l125_d0.80_instance01,2,1520,3,NA,NA,NA,NA,NA,NA,14.6086,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.20_instance01,2,1520,23,NA,NA,NA,NA,NA,NA,3.4262,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.50_instance01,2,1520,14,NA,NA,NA,NA,NA,NA,8.6196,NA,NA,NA,NA,NA,NA
scenario_n500_l250_d0.80_instance01,2,1520,4,NA,NA,NA,NA,NA,NA,13.8006,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.20_instance01,2,1520,36,NA,NA,NA,NA,NA,NA,7.2316,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.50_instance01,2,1520,17,NA,NA,NA,NA,NA,NA,10.4633,NA,NA,NA,NA,NA,NA
scenario_n500_l375_d0.80_instance01,2,1520,6,NA,NA,NA,NA,NA,NA,16.5922,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.20_instance01,2,1520,35,NA,NA,NA,NA,NA,NA,7.6344,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.50_instance01,2,1520,19,NA,NA,NA,NA,NA,NA,17.0892,NA,NA,NA,NA,NA,NA
scenario_n500_l500_d0.80_instance01,2,1520,9,NA,NA,NA,NA,NA,NA,13.3507,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.20_instance01,2,1520,45,NA,NA,NA,NA,NA,NA,10.0263,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.50_instance01,2,1520,20,NA,NA,NA,NA,NA,NA,10.0621,NA,NA,NA,NA,NA,NA
scenario_n500_l625_d0.80_instance01,2,1520,10,NA,NA,NA,NA,NA,NA,15.5658,NA,NA,NA,NA,NA,NA
scenario_n50_l12_d0.20_instance01,2,1520,5,5,6,8,5,5,5,0.06,5.551200,6.043900,6.479100,28.864300,33.483500,29.992000
scenario_n50_l12_d0.50_instance01,2,1520,2,4,6,9,2,2,2,0.0675,7.491700,8.704300,7.568300,53.254400,49.034600,52.405100
scenario_n50_l12_d0.80_instance01,2,1520,2,4,6,8,2,2,2,0.1132,12.474800,15.237900,12.165700,82.085600,96.350100,84.172100
scenario_n50_l25_d0.20_instance01,2,1520,7,8,12,15,7,7,7,0.0708,7.025900,7.453600,7.916300,47.706800,70.846700,48.010300
scenario_n50_l25_d0.50_instance01,2,1520,4,8,11,16,4,4,4,0.1053,11.531500,11.035700,11.915900,64.186700,59.509800,57.143200
scenario_n50_l25_d0.80_instance01,2,1520,2,7,12,16,2,2,2,0.0953,13.010900,21.832300,14.696000,99.462400,87.159900,93.695100
scenario_n50_l50_d0.20_instance01,2,1520,9,14,20,24,9,9,9,0.1221,11.741500,16.287300,18.640400,80.302600,74.890800,71.228600
scenario_n50_l50_d0.50_instance01,2,1520,5,13,17,24,5,5,5,0.1313,15.177900,24.671500,21.939300,108.081000,101.526500,90.594600
scenario_n50_l50_d0.80_instance01,2,1520,4,13,18,24,4,4,4,0.1601,20.564100,19.913200,26.786100,115.468400,117.709500,118.342500
scenario_n50_l62_d0.20_instance01,2,1520,13,20,23,28,13,13,13,0.2411,15.847300,15.179400,19.194400,96.733800,98.233000,86.560000
scenario_n50_l62_d0.50_instance01,2,1520,6,15,20,23,6,6,6,0.1484,19.605600,20.001800,21.284400,106.201700,106.313900,83.829100
scenario_n50_l62_d0.80_instance01,2,1520,5,13,20,26,5,5,5,0.1522,21.262300,23.850500,26.084900,130.442000,126.327100,107.342500
scenario_n1000_l1000_d0.20_instance01,3,8954,72,NA,NA,NA,NA,NA,NA,42.3876,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.50_instance01,3,8954,48,NA,NA,NA,NA,NA,NA,72.433,NA,NA,NA,NA,NA,NA
scenario_n1000_l1000_d0.80_instance01,3,8954,22,NA,NA,NA,NA,NA,NA,93.6765,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.20_instance01,3,8954,75,NA,NA,NA,NA,NA,NA,54.0506,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.50_instance01,3,8954,48,NA,NA,NA,NA,NA,NA,97.5596,NA,NA,NA,NA,NA,NA
scenario_n1000_l1250_d0.80_instance01,3,8954,27,NA,NA,NA,NA,NA,NA,140.381,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.20_instance01,3,8954,37,NA,NA,NA,NA,NA,NA,24.4612,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.50_instance01,3,8954,35,NA,NA,NA,NA,NA,NA,60.0431,NA,NA,NA,NA,NA,NA
scenario_n1000_l250_d0.80_instance01,3,8954,13,NA,NA,NA,NA,NA,NA,93.7665,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.20_instance01,3,8954,50,NA,NA,NA,NA,NA,NA,26.9259,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.50_instance01,3,8954,37,NA,NA,NA,NA,NA,NA,67.7291,NA,NA,NA,NA,NA,NA
scenario_n1000_l500_d0.80_instance01,3,8954,15,NA,NA,NA,NA,NA,NA,101.591,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.20_instance01,3,8954,58,NA,NA,NA,NA,NA,NA,31.1692,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.50_instance01,3,8954,43,NA,NA,NA,NA,NA,NA,59.6561,NA,NA,NA,NA,NA,NA
scenario_n1000_l750_d0.80_instance01,3,8954,19,NA,NA,NA,NA,NA,NA,91.0872,NA,NA,NA,NA,NA,NA
scenario_n100_l100_d0.20_instance01,3,8954,14,26,38,52,14,14,14,0.4327,44.966500,55.556100,71.478300,305.892900,276.799000,251.276300
scenario_n100_l100_d0.50_instance01,3,8954,7,27,39,50,7,7,7,0.4134,71.171700,86.046300,98.390100,461.258600,412.352600,379.162500
scenario_n100_l100_d0.80_instance01,3,8954,5,25,40,51,5,5,5,0.418,96.924400,113.575000,126.572300,595.460300,563.485400,521.795200
scenario_n100_l125_d0.20_instance01,3,8954,16,33,42,54,16,16,16,0.4746,59.692600,84.006800,87.982800,365.350800,353.161800,346.044800
scenario_n100_l125_d0.50_instance01,3,8954,9,32,44,56,9,9,9,0.5332,89.102600,100.479500,111.638500,551.964200,486.331700,437.279100
scenario_n100_l125_d0.80_instance01,3,8954,5,31,46,53,5,5,5,0.4553,117.005400,138.067300,139.393100,667.892000,623.482200,573.026000
scenario_n100_l25_d0.20_instance01,3,8954,7,8,13,19,6,7,6,0.1343,19.595800,22.105500,22.475300,123.989800,124.188500,120.229200
scenario_n100_l25_d0.50_instance01,3,8954,2,8,13,19,2,2,2,0.2081,43.514500,45.616000,45.135400,287.397400,279.506600,253.107600
scenario_n100_l25_d0.80_instance01,3,8954,2,8,13,19,2,2,2,0.5465,67.500100,63.727300,66.326000,390.035900,388.767200,389.410900
scenario_n100_l50_d0.20_instance01,3,8954,10,14,23,34,10,10,10,0.201,25.030000,27.745900,31.999700,168.790800,166.470200,158.314600
scenario_n100_l50_d0.50_instance01,3,8954,5,15,23,33,5,5,5,0.2791,51.161300,52.528600,57.871000,306.944700,301.545700,295.921900
